"","logFC","logCPM","PValue","FDR","ID"
"23228",1.46374647634775,4.63721465195148,6.5738176580957e-09,8.75336568975584e-07,"23228"
"9067",1.69216208664253,3.10474745250584,8.03841683544363e-09,1.0664201158345e-06,"9067"
"17272",1.40496932253594,5.55760243410696,9.20372008447388e-09,1.21210306294978e-06,"17272"
"2841",1.35694428967033,6.62971583191249,9.57183449473097e-09,1.25599871906315e-06,"2841"
"35636",2.08046073112809,1.99222621371093,1.00971260507574e-08,1.32012606355646e-06,"35636"
"9492",1.51965736078057,4.3127163603304,1.04513899882401e-08,1.36151049720449e-06,"9492"
"33774",2.38406399576697,1.31556584363393,1.10165446723096e-08,1.42785826975795e-06,"33774"
"35032",1.54656946613308,3.63088662819224,1.10398353128023e-08,1.42785826975795e-06,"35032"
"1943",1.79182065159524,2.88779331677962,1.21525873407185e-08,1.55505714251712e-06,"1943"
"18408",2.27876613049966,1.39836411424687,1.29953504629939e-08,1.65118739949695e-06,"18408"
"16763",1.40834793748125,5.1747989150174,1.36319594663113e-08,1.7259973941819e-06,"16763"
"3472",2.84084081803781,0.584308414794454,1.45093635597267e-08,1.83066567850608e-06,"3472"
"33231",2.50732831982173,1.28870510488964,1.59686621352166e-08,2.00776715383028e-06,"33231"
"26106",1.53052117818137,3.52319877604893,1.60257433711089e-08,2.00794774148078e-06,"26106"
"33429",1.80158087427858,2.51407663385612,1.68873668955623e-08,2.10858351012584e-06,"33429"
"8473",3.06303290169073,1.03290501251723,1.74600237006591e-08,2.1725688111665e-06,"8473"
"38730",1.71204431061832,2.63048666879923,1.76556319623651e-08,2.18935903560806e-06,"38730"
"38630",2.09202655957975,1.94856810707081,1.82323896751566e-08,2.25313623776721e-06,"38630"
"9527",6.36199252309465,0.898724656462663,1.84606247965083e-08,2.27355510505803e-06,"9527"
"9491",1.44719562486106,4.64966785154748,1.91985031276722e-08,2.3563877053131e-06,"9491"
"15947",1.48283359835372,3.9805978842643,2.13924697829673e-08,2.60792997337289e-06,"15947"
"23637",3.24822591205832,0.971172103480291,2.24776403103788e-08,2.70730118308079e-06,"23637"
"39476",3.19844905823366,0.813067913540544,2.24776403103788e-08,2.70730118308079e-06,"39476"
"217",2.59741930908323,1.2793233848012,2.25077000117566e-08,2.70730118308079e-06,"217"
"32912",1.48287759517016,4.15844871138155,2.45736936938158e-08,2.94598583701443e-06,"32912"
"34416",1.58822380660439,3.27126432144083,2.61498935285911e-08,3.12456592046096e-06,"34416"
"12511",2.93373959174544,0.975269858295198,2.85407015154635e-08,3.39898090490264e-06,"12511"
"2555",1.92648670433254,2.10260029901576,2.98313761703743e-08,3.5410039773288e-06,"2555"
"15746",3.19914337163332,0.72363655341567,3.39915116577566e-08,3.98241460444853e-06,"15746"
"556",1.3971558125614,4.77949125252207,3.53346175923945e-08,4.12637435540956e-06,"556"
"9581",1.35052279032755,5.46847980293858,3.70291448608174e-08,4.31031191065354e-06,"9581"
"10681",1.48044410204133,3.7272210906001,4.09186403456517e-08,4.74774642081299e-06,"10681"
"4196",1.3558775126135,5.03740005835704,4.22528582039654e-08,4.88684098810926e-06,"4196"
"38072",1.33155948459563,5.56968219449028,4.33469464906459e-08,4.98144765641706e-06,"38072"
"7593",1.33926280732553,5.26808708662721,4.48305306883053e-08,5.1355863488492e-06,"7593"
"32666",1.36036137345043,5.12976322237538,4.52949154467273e-08,5.17236399966821e-06,"32666"
"7260",1.80405515404553,2.70979576593771,5.86892379589677e-08,6.6807607310705e-06,"7260"
"25919",1.46866519839188,3.69964165108079,6.12774612161117e-08,6.95345027667733e-06,"25919"
"16674",1.69211678267151,2.54300589238102,6.77645757979897e-08,7.66546933439015e-06,"16674"
"31056",1.84666009087794,2.07317464062284,6.91124846559151e-08,7.79351252752717e-06,"31056"
"1944",1.64255278107813,3.00566566457991,7.44607902081102e-08,8.34446464180018e-06,"1944"
"8174",1.60589011450039,3.01225736072802,7.51902705886633e-08,8.36074827935035e-06,"8174"
"35396",1.57297614454347,3.27622865007201,7.52392204939702e-08,8.36074827935035e-06,"35396"
"39831",2.01828003277074,1.83847609759889,7.53011830619056e-08,8.36074827935035e-06,"39831"
"40520",1.44497719062179,3.59243015636346,8.10151398773198e-08,8.96758074378247e-06,"40520"
"28656",1.39539208627721,3.95055436737564,8.60605458157933e-08,9.46797193830153e-06,"28656"
"9071",1.55162613414301,3.02421199447019,8.76562933615972e-08,9.61421685700071e-06,"9071"
"18618",1.51284379467011,3.06749057406871,8.83395673572465e-08,9.65979784268558e-06,"18618"
"11414",1.39778766096657,4.18518814730168,8.87581422010051e-08,9.67624640883163e-06,"11414"
"3473",2.56058207333215,0.955010185982788,8.93692326763967e-08,9.71352036484269e-06,"3473"
"32711",6.21865227960531,-0.173627822396226,9.75652974479685e-08,1.05725037790088e-05,"32711"
"35023",1.30346750519908,5.15987305126426,1.02694974328144e-07,1.10950543372188e-05,"35023"
"3623",1.66452090789644,2.58961474204893,1.07547785117137e-07,1.15846621670206e-05,"3623"
"20829",3.07962535938941,0.32734313092429,1.18472790495362e-07,1.27234840625749e-05,"20829"
"11435",1.38007722167343,3.94436681120334,1.2374127910074e-07,1.3171693381564e-05,"11435"
